,tweet_id,tweet,sentiment
18,4730,"['apple', 'opens', 'pop', 'store', 'sxsw', 'link', 'via', 'apple', 'ipad2', 'technology', 'itunes', 'sxsw']",1
19,2166,"['atleast', 'sxsw', 'ipad', 'doubleloser']",1
20,3497,"['cue', 'choir', 'music', 'sxsw', 'apple', 'store', 'sxsw', 'link']",1
21,165,"['anyone', 'sxsw', 'want', 'ipad', 'line', 'pick', 'one', 'someone', 'willing', 'pay', 'grab']",1
22,1352,"['__', '__', '__', '..', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles', 'possibly', 'today', 'link', 'sxsw']",2
23,6431,"['..', 'google', 'throw', 'tchin', 'party', 'shout', 'spazmatics', 'sxsw']",2
24,634,"['iphone', 'hrs', 'tweeting', 'rise_austin', 'dead', 'need', 'upgrade', 'plugin', 'stations', 'sxsw']",0
25,4544,"['anyone', 'know', 'google', 'talk', 'circles', 'sxsw']",1
26,568,"['google', 'set', 'launch', 'new', 'social', 'network', 'circles', 'today', 'sxsw']",1
27,775,"['google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles', 'possibly', 'today', 'link', 'sxsw']",1
28,5368,"['standing', 'long', 'line', 'surrounded', 'unemployed', 'techies', 'brooklyn', 'sxsw', 'apple', 'store', '5th', 'ave', 'waiting', 'ipad']",3
29,3087,"['wow', '*something', 'ventured*', 'kick', 'ass', 'film..', 'google', 'blekko', 'details', 'good', 'choice', 'sxsw', 'startups', 'movie', 'awesome']",1
30,5398,"['ipad', 'djs', 'need', 'one', '3am', 'tuesday-', 'douche', 'bags', 'need', 'apply-', 'sxsw']",1
31,2491,"['packed', 'many', 'apple', 'devices', 'alarm', 'set', ':15am', 'see', 'sxsw', 'psyched', 'meet', 'finally', 'many', 'guys']",2
32,1993,"['check', 'offers', 'google', 'cool', 'link', 'sxsw']",2
33,6275,"['looks', 'interesting', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles', 'possibly', 'today', 'link', 'sxsw']",2
34,1178,"['went', 'whole', 'day', '/out', 'laptop', 'used', 'ipad', 'things', 'missed', 'ftp', 'cloudapp', 'fast', 'typing', 'skype', 'ipad', 'sxsw']",0
35,3628,"['find', 'stupid', 'stupid', 'game', 'ipad', 'currently', 'special', 'sxsw', 'sale', 'link']",1
36,328,"['overheard', 'sxsw', 'google', 'launch', 'products', 'people', 'events', ""''""]",1
37,7112,"['mayer', 'people', 'drive', '12bn+', 'miles', 'year', 'using', 'google', 'maps', 'navigation', 'whither', 'sat', 'nav', 'sxsw']",1
38,5838,"['google', 'launches', 'geo-social', ""'offers"", 'sxsw', 'link', 'deferomobile']",1
39,6895,"['giving', 'away', 'shiny', 'ipad', 'sxsw', 'quotables', 'simply', 'sign', 'entered', 'automatically', 'link', 'ipad2', 'sxsw']",1
40,3550,"['heard', 'downtown', 'location', 'sold', 'merchandise', 'last', 'night', 'sxsw', 'apple', 'ipad2']",1
41,885,"['bummed', 'miss', 'sxsw', 'year', 'quarantined', 'kiddie', 'cold', 'garageband', 'ipad', 'comfort']",2
42,2007,"['lonely', 'planet', 'made', 'austin', 'guide', 'free', 'sxsw', 'grab', 'never', 'know', 'need', 'link']",1
43,8697,"['sxsw', 'groupme', 'says', 'going', 'global', 'first', 'adds', 'new', 'social', 'features', 'link', 'android', 'iphone', 'sms', 'stevemartocci', 'sxsw']",1
44,2989,"['time', 'warner', 'cable', 'roll', 'ipad', 'app', 'live', 'march', 'link', 'entry', 'friends', 'house', 'sxsw']",1
45,8312,"['sxsw', 'post-mobile', 'social', 'party', 'link', 'via', 'could', 'win', 'photography', 'gear', 'ipad']",1
46,5537,"['awesome', 'new', 'version', 'iphone', 'new', 'web', 'site', 'coming', 'sxsw', 'want', 'demo', 'meet', 'sxsw', 'pls']",2
47,1569,"['download', 'let', 'one', 'sweet', 'link', 'love', 'vid', 'via', 'sxsw']",1
48,1415,"['nice', 'move', 'apple', 'set', 'open', 'popup', 'shop', 'core', 'sxsw', 'action', 'link']",2
49,8983,"['motley', 'fool', 'google', 'prepares', 'fight', 'facebook', 'circles', 'may', 'appeared', 'sxsw', 'way', 'link']",1
50,5058,"[""'google"", 'lost', 'way', 'caring', 'much', 'business', 'users', 'psych', 'sxsw']",0
51,6831,"['update', 'recco', 'link', 'sxsw', 'panels/parties', 'def', 'good', 'times', 'follow', 'friends', 'newbie']",1
52,579,"['google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles', 'possibly', 'today', 'link', 'sxsw', 'dejavu']",1
53,1666,"['seen', 'one', 'ipad', 'sxsw', 'far', ""''"", 'audience', 'members', 'raise', 'ipad']",1
54,1843,"['rumor..', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles', 'possibly', 'today', 'link', 'sxsw']",1
55,529,"['tessie', 'frontwoman', 'intimate', 'stranger', 'ink', 'painful', 'places', 'get', 'ink', 'respect', 'location', 'link', 'sxsw']",1
56,3760,"['future', ""''"", 'contextual', 'discovery', 'nice', 'way', 'articulating', 'intersection', 'social', 'mobile', 'search', 'sxsw']",1
57,7433,"['google', 'reportedly', 'unveil', 'new', 'social', 'network', 'called', 'circles', 'likely', 'launch', 'may', 'link', 'googlecircles', 'googleme', 'sxsw']",1
58,2522,"['sxsw', 'tradeshow', 'floor', 'engage', 'multi-touch', 'interactive', 'wall', 'take', 'part', 'augmented', 'reality', 'enter', 'win', 'ipad']",1
59,3484,"['sxsw', 'fashion', 'essential', 'photo', 'iphone']",1
60,7372,"['awesome', 'iphone', 'charging', 'lockers', 'registrant', 'lounge', 'sxsw', 'link']",2
61,1488,"['brilliant..', 'hope', 'plenty', 'ipads..', 'apple', 'open', 'pop-', 'shop', 'sxsw', 'report', 'link', 'sxsw']",2
62,3967,"['launchrock', 'vencorps', 'want', 'give', '30k', 'best', 'startups', 'sxsw', 'link']",1
63,2435,"['composed', 'tweet', 'acerbic', 'cynical', 'ipad', 'users', 'phone', 'crashed', 'dumped', 'apps', 'twitterpower', 'sxsw', 'imthatgood']",0
64,6087,"['sxsw', 'taught', 'anything', 'want', 'ipad', 'dont', 'know']",2
65,4542,"['anyone', 'news', 'sxsw', 'ipad', 'must-have', 'course', 'link']",2
66,624,"['-minus', 'hours', 'social', 'media', 'mavens', 'start', 'performing', 'degrading', 'sex', 'acts', 'iphone', 'charge', 'sxsw']",1
67,3404,"['haha', 'iphone', 'sxsw']",1
68,3850,"['talk', 'mistakes', 'made', 'building', 'netflix', 'iphone', 'sxsw', 'netflixiphone']",0
69,1804,"['say', 'booths', 'tradeshow', 'waffling', 'ipad', 'portion', 'reps', 'dressed', 'crazy', 'characters', 'sxsw']",1
70,2937,"['ipad2', 'apple', 'store', 'sxsw', 'photos', 'thanks', 'link']",1
71,4855,"['google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles', 'possibly', 'today', 'link', 'sxsw']",1
72,2417,"['bjdproductions', 'apple', 'opening', 'pop-', 'store', 'austin', 'sxsw', 'geekfest', 'apple', 'link', 'tech']",1
73,3536,"['thoughts', 'path', 'iphone', 'photo', 'app', 'sxsw', 'iphoneography', 'mobilephotography']",1
74,1779,"['heck', '/being', 'sick', 'apple', 'supposedly', 'setting', 'mini-store', 'sxsw', 'feeling', 'plan']",1
75,6129,"['line', 'might', 'well', 'popup', 'apple', 'store', 'austin', 'sxsw', 'ipad2']",1
76,489,"['4sq', 'sees', 'facebook', 'google', 'competition', 'via', 'checkins', 'sxsw']",1
77,2296,"['google', 'labs', 'fusion', 'tables', 'made', 'election', 'day', 'foursquare', 'visualization', 'possible', 'sxsw']",2
78,3269,"['tech', 'lightbox_photos', 'wants', 'new', 'android', 'camera', 'app', 'sxsw', 'sad', 'although', 'android', 'adoption', '..', 'link', 'technology']",2
79,4274,"['google', 'marissa', 'mayer', 'location-based', ""'fast"", 'fun', 'future', 'link', 'sxsw', 'sxswi']",2
80,180,"['spent', ',00+', 'come', 'sxsw', 'already', 'used', 'ipad', 'wait', 'couple', 'city', 'blocks', 'ipad2', 'sxsw', 'link']",0
81,4711,"['nothing', 'quite', 'like', 'sxsw', 'make', 'want', 'ipad', 'desperately', 'almost', 'drooling', 'guy', 'next']",2
82,51,"['link', '--', 'help', 'forward', 'doc', 'anonymous', 'accounts', 'techies', 'people', 'help', 'jam', 'libya', 'sxsw']",1
83,5252,"['social', 'important', 'google', 'screw', 'big', 'launch', 'circus', 'link', 'via', 'sxsw']",1
84,7204,"['thought', 'people', 'spent', 'lot', 'time', 'staring', 'iphone', 'last', 'year', 'sxsw', '..just', 'wait']",1
85,4583,"['google', 'new', 'social', 'network', 'circles', ""''"", 'announced', 'today', 'sxsw']",1
86,7077,"['apple', 'open', 'pop-', 'shop', 'sxsw', 'report', 'link', 'sxsw']",1
87,5399,"['ipad2', 'left', 'apple', 'store', 'sxsw', 'anyone', 'know', 'smiling']",1
88,1438,"['new', 'ubersocial', 'iphone', 'app', 'store', 'includes', 'uberguide', 'sxsw', 'sponsored', 'mashable', 'link']",1
89,6541,"['google', 'set', 'launch', 'new', 'social', 'network', 'circles', 'today', 'sxsw']",1
90,7456,"['cunning', 'apple', 'keeping', 'ipad2', 'popup', 'store', 'open', 'late', 'next', 'sxsw', 'parties', 'impulsive', 'late', 'night', 'purchases', 'regrets', 'here..']",2
91,7792,"['n22', 'opportunity', 'knocks', 'link', 'codes', 'valid', ':59p', '//', 'infektd', 'sxsw', 'necro']",1
92,8178,"['lazers', 'display', 'tonite', 'link', 'gsdm', 'google', 'industry', 'party', 'link', 'sxsw']",1
93,4469,"['correction', 'cab', 'driver', 'well', 'prepared', 'sxsw', 'got', 'laptop', 'blackberry', 'iphone', 'dashboard', 'got', 'regular', 'cell']",1
94,8016,"['sxsw', 'fmsignal', 'marissa', 'mayer', 'google', 'announces', 'check', 'ins', 'interview', 'john', 'battelle', 'link']",1
95,2339,"['sxsw', 'enchantment', 'like', 'saying', 'please', 'register', 'google', ""''"", 'hahah']",1
96,6615,"['tweet', 'register', 'exclusive', 'passes', 'events', 'parties', 'ipad', 'sxsw', 'liberty', 'and/', 'free', 'sxswpass']",1
97,680,"['tim', 'soo', 'invisible', 'instruments', 'jaw', 'dropping', 'iphone+wii', 'controller', 'link', 'lovemusicapi', 'sxsw']",2
98,6669,"['appears', 'apple', 'opening', 'pop', 'store', 'austin', 'sxsw', 'employees', 'trying', 'hide', 'beechwood', 'tables', 'gave', 'away']",1
99,6034,"['horror', 'stories', 'women', 'tech', 'link', 'sxsw', '9to5']",1
100,5755,"['full', 'sxsw', 'touchingstories', 'presentation', 'link']",1
101,4671,"['listening', ""'congo"", 'ipanemas', 'via', 'discovr', 'app', 'iphone', 'link', 'live', 'sxsw']",1
102,8772,"['eventful', 'day', 'earthquake', 'tsunami', 'ipad', 'plus', 'sxsw..', 'link']",1
103,6127,"['ipad', 'design', 'headaches', 'take', 'two', 'tablets', 'call', 'panel', 'excited', 'hear', 'live', 'sxsw']",1
104,8850,"['tired', 'waiting', 'line', 'stores', 'best', 'buy', 'austin', 'announces', 'ipad2', 'sale', 'today', 'sxswinfo', 'sxsw']",1
105,4806,"['smart', 'entrepreneur', 'would', 'set', '-line', 'consignment', 'shop', 'help', 'sell', 'outdated', 'ipad1', 'units', 'sxsw', 'link']",1
106,1607,"['walked', 'industry', 'party', 'gsdm', 'google', 'austin', 'sxsw']",1
107,704,"['check', 'iphone', 'developer', 'meet', 'sxsw', 'link', 'sxsw']",2
108,828,"['google', 'launching', 'social', 'network', 'definitely', 'sxsw', 'rumor', 'still', '..', 'link', 'googlecircles']",1
109,7262,"['anyone', 'know', 'sxsw', 'apple', 'store', 'still', 'ipads']",1
110,3749,"['good', 'point', 'love', 'sxsw', 'apple', 'comes', 'cool', 'technology', 'conferences', ""''""]",2
111,4658,"['apple', 'opening', 'downtown', 'austin', 'pop', 'store', 'sxsw', 'even', 'begins', 'apple', 'wins', 'sxsw', 'link']",2
112,8426,"['chances', 'buy', 'ipad', 'sxsw', 'unless', 'already', 'got', 'one', 'way']",1
113,8099,"['start', 'google', 'doodles', 'burning', 'man', 'pac-man', 'beyond', 'let', 'ser', 'get', 'new', 'ideas', 'sapo', 'sxsw']",1
114,5174,"['everyone', 'already', 'one', ""''"", 'anti-theft', 'protection', 'leave', 'laptop', 'ipad', 'get', 'latte', 'sxsw']",1
115,8330,"['lotta', 'hipsters', 'could', 'meet', 'guy', 'fedora', 'ipad', ""''"", 'assistant', 'stage', 'sxsw']",1
116,7152,"['tech', 'even', 'begins', 'apple', 'wins', 'sxsw', 'link']",2
117,5083,"['link', 'hear', 'apple', 'opening', 'temporary', 'store', 'sxsw', 'via']",2
118,7190,"['sxsw', 'folks', 'taking', 'notes', 'ipad', 'sure', 'download', 'dan', 'bricklin', 'app', 'notetaker', 'really', 'sweet', 'thanks']",2
119,3876,"['google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles', 'possibly', 'today', ""''"", 'link', 'sxsw']",1
120,5214,"['apple', 'setting', 'pop-', 'store', 'austin', 'sell', 'bajillions', 'ipad2s', 'sxsw', 'attendees', 'link', 'brilliant']",2
121,5415,"['apple', 'announces', 'pop-', 'store', 'sxsw', 'see', 'take', 'future', 'pop-', 'stores', 'link', 'client']",1
122,8107,"['vestibule', 'temp-apple', 'store', 'min', 'wait', 'ipad2', '64g', '--', 'replenished', 'supply', 'sxsw']",2
123,4618,"['google/bing', 'search', 'smackdown', 'panel', 'giant', 'room', 'enough', 'chairs', 'hope', 'search', 'floor-sitting', ""''"", 'sxsw']",3
124,3426,"['lots', 'chatter', 'around', 'google', 'new', 'social', 'network', 'circles', 'sxsw', '-kek']",1
125,1845,"['watching', 'talk', 'guy', 'hired', 'jony', 'ive', 'apple', 'sxsw', 'industrialdesign']",1
126,6675,"['sound', 'voice', 'shot', 'exploiting', 'apple', 'best', 'buy', '-day', 'return', 'policy', 'imacs', 'brilliant', 'sxsw']",1
127,5590,"['cameron', 'sinclair', 'spearheads', 'japan', 'disaster', 'relief', 'sxsw', 'via', 'twitter', 'iphone', 'link']",1
128,4606,"['tweeting', 'sxsw', 'pretty', 'non', 'existent', 'today', 'thanks', 'iphone', 'app', 'fail', 'hootsuite', 'epic', 'replacement', 'owllove']",0
129,8235,"['arrived', 'google', 'sxsw', 'party', 'awesome']",2
130,1687,"['ipad', 'lounge', 'recharge', 'see', 'art', 'ipad', 'show', 'daily', 'sxsw', 'austin', 'details', 'link']",1
131,4659,"['apple', 'opening', 'pop-', 'store', 'austin', 'sixth', 'congress', 'sxsw', 'link', 'ipad2']",1
132,1943,"['virtualwallet', 'sxsw', 'paypal', 'get', 'physical', 'goods', 'cut', 'apple', 'gets', 'software', 'virtual', 'goods']",1
133,7469,"['original', 'products', 'device', 'nuts', 'sxsw', 'ipad']",3
134,1768,"['sxsw', '2011', 'novelty', 'ipad', 'news', 'apps', 'fades', 'fast', 'among', 'digital', 'delegates', 'link']",1
135,3668,"['juts', 'time', 'sxsw', 'group-texting', 'war', 'heats', 'fast', 'society', 'launches', 'new', 'android', 'app', 'updates', 'iphone', 'app', 'link']",2
136,8565,"['got', 'google', 'party', 'speakeasy', 'free', 'drinks', 'food', 'coming', 'sxsw']",1
137,5079,"['fyi..', 'breaking', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles..today', 'link', 'via', 'sxsw', 'socialmedia']",1
138,414,"['crazy', 'big', 'crowds', 'sxsw', 'apple', 'store', 'sxsw', 'link']",1
139,6959,"['woah', 'dude', 'sxsw', 'gets', 'branded', 'tattoo', 'exchange', 'ipad', 'really', 'link', 'think']",1
140,8687,"['apple', 'popup', 'store', 'sxsw', 'link']",1
141,6741,"['internet', 'blurs', 'link', 'ipad', 'fades', 'link', 'sxsw']",1
142,4454,"['sitting', 'floor', 'behind', 'guy', 'fondling', 'new', 'ipad', 'disturbing', 'way', 'sxsw']",0
143,2199,"['giving', 'away', 'ipad', 'panel', 'wish', 'luck', 'sxsw']",2
144,1508,"['world', 'largest', 'ipad', 'sxsw', 'link']",2
145,7739,"['iphone', 'version', 'flipboard', 'hopefully', 'summer', 'sxflip', 'sxsw']",2
146,7302,"['setting', 'google', 'gsdm', 'sxsw', 'party', 'going', '--', 'zing', 'check', 'events', 'sxsurrogates.com', 'come']",2
147,5588,"['calvin', 'geek', 'charlie', 'sheen', 'goddesses', 'google', 'sxsw']",1
148,2009,"['lonely', 'planet', 'free', 'guide', 'austin', 'link', 'iphone', 'sxsw']",1
149,5909,"['google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles', 'possibly', 'today', 'link', 'via', 'sxsw']",1
150,2430,"['apple', ""'popping"", 'sxsw', 'setting', 'temp', 'sites', 'link', 'austin', 'atx', 'austinbusiness']",1
151,5831,"['google', 'launching', 'products', 'sxsw', 'link']",1
152,7553,"['seated', 'turkey', 'bowl', 'armadillo', 'kill', 'list', 'sxxpress', 'passes', 'acquired', 'could', 'buy', 'ipad', 'sxsw']",2
153,3901,"['made', 'press', 'room', 'got', 'swag', 'registered', 'ipad', 'hopefully', 'get', 'meet', 'mike', 'tyson', 'sxsw']",1
154,7974,"['still', 'use', 'tweetie', 'mac', 'running', 'leopard', 'pariah', 'sxsw', 'wish', 'least', 'android', 'something', 'make', 'cool']",2
155,3264,"['google', 'might', 'launch', 'circles', 'today', 'sxsw', 'link', 'mobile491']",1
156,8256,"['next', 'life', 'coming', 'back', 'ipad', 'women', 'keep', 'hands', 'thing', 'sxsw']",2
157,1876,"['win', 'ipad', 'sxsw', 'via', 'sxsw', 'link']",2
158,4400,"['way', 'android', 'party', 'hewlitt', 'packard', 'badass', 'thing', 'goiing', 'free', 'food', 'booze', 'music', 'love', 'sxsw']",1
159,893,"['hootsuite', 'mobile', 'sxsw', 'updates', 'iphone', 'blackberry', 'android', 'shared', 'paul', 'link', 'shared']",1
160,8501,"['ipad', 'tweeting', 'riding', 'thru', '210', 'sxsw']",2
161,1810,"['setup', 'sxsw', 'demo', 'restaurant', 'page', 'sign', 'download', 'iphone', 'app', 'check', 'link', 'say', 'sxswi']",2
162,6987,"['yes', 'updated', 'iphone', 'app', 'song', 'info', 'stream', '+others', 'also', 'live', 'video', 'streaming', 'sxsw', 'link']",2
163,1878,"['ipad', 'hands', 'exquisite', 'sxsw']",2
164,1907,"['best', 'schwag', 'seen', 'sxsw', 'battery', 'charger', 'iphone', 'get', 'one']",2
165,5216,"['apple', 'open', 'pop', 'store', 'sxsw', 'time', 'ipad2', 'sales', 'link']",1
166,5962,"['decided', 'need', 'ipad', 'usguys', 'sxsw', 'agree']",2
167,4319,"['yup', 'woke', 'iphone', 'finished', 'recharging', 'means', 'got', 'enough', 'sleep', 'last', 'night', 'right', 'sxsw']",1
168,3174,"['platform', 'concertgoers', 'launches', 'android', 'app', 'time', 'sxsw', 'link', 'sxsw', 'link']",1
169,6652,"['server', 'challenge', 'huge', 'hit', 'sxsw', 'come', 'booth', '400', 'try', 'hand', 'win', 'iphone', 'bottle', 'opener', 'case', 'beating', 'mins']",1
170,4502,"['anyone', 'find', 'makeshift', 'apple', 'store', 'sxsw', 'yet']",2
171,161,"['apple', 'sxsw', 'store', 'still', 'ipad', 'short', 'lines']",2
172,1221,"['according', 'google', 'marissa', 'mayer', 'future', 'location', 'augmented', 'reality', 'contextual', 'discovery', 'making', 'smartphones', 'smarter', 'sxsw']",1
173,4594,"['money', 'money', 'money', '..', 'apple', 'heads', 'sxsw', 'sets', 'temporary', 'store', 'austin', 'link', 'via']",1
174,1674,"['goes', 'search', ""''"", 'watch', 'google', 'seems', 'coming', 'launch', 'sxsw']",1
175,5655,"['dawn', 'ipad', 'app', 'week', 'early', 'help', 'prep', 'sxsw', 'link']",2
176,4382,"['seattle', 'sxsw', 'peeps', 'today', 'replacement', 'iphone', 'hand', 'back', 'action']",2
177,2762,"['iphone', 'mute', 'tags', 'people', 'conversations', 'mobile', 'sxsw', 'notatsxsw']",1
178,2434,"['discovered', 'new', 'conversation', 'icebreaker', 'hey', 'new', 'ipad', 'yes', '..', ""''"", 'sxsw', 'social']",2
179,6575,"['rumor', 'apple', 'opening', 'temporary', 'store', 'downtown', 'austin', 'sxsw', 'ipad', 'launch', 'link']",1
180,2802,"['great', 'blog', 'latest', 'news', 'sxsw', '..', 'like', 'opening', 'apple', 'store', 'link', 'sxsw2011']",2
181,5108,"['sxsw', 'really', 'great', 'social', 'search', 'probably', 'good', 'idea', 'google', ""''""]",2
182,3470,"['personal', 'guide', 'austin', 'sxsw', 'link']",1
183,1566,"['apple', 'open', 'temporary', 'store', 'friday', 'scarbrough', 'building', '6th', 'congress', 'sxsw', 'link']",1
184,217,"['rumor', 'monger', 'good', 'read', 'google', 'circles', 'preview', 'sxsw', 'link', 'via', 'socbiz']",2
185,4204,"['really', 'need', 'upgrade', 'phone', 'haha', 'iphone', 'apps', 'probably', 'need', 'use', 'sxsw', 'link']",2
186,5441,"['apple', 'likes', 'pay', 'long', 'gadget', 'liked', 'many', 'closed', 'system', 'work', 'pnid', 'sxsw']",1
187,8198,"['spotted', 'sxsw', 'man', 'need', 'ipad', 'link', 'sxswi']",2
188,8975,"['piday', 'google', 'sxsw', 'booth', 'link']",1
189,7550,"['thanks', 'free', 'drinks', 'google', 'sxsw', 'speakeasy', 'others', 'link']",2
190,4121,"['cool', 'apple', 'open', 'temporary', 'store', 'sxsw', 'link', 'sxsw']",2
191,2864,"['prefer', 'news', 'iphone', 'ipad', 'droid', 'apps', 'mobile', 'apps', 'sxsw']",2
192,1251,"['listening', 'australian', 'knob', 'celebrity', 'journalist', 'shoot', '-shoot', '-shoot', 'iphone', 'vid', 'meeting', 'celebs', 'sxsw']",1
193,6487,"['iphone', 'apps', 'using', 'south', 'southwest', 'interactive', 'link', 'sxsw', 'sxswi']",1
194,9023,"['apparently', 'google', 'preferences', ""''"", 'see', 'google', 'thinks', 'like', 'seenocreepy', 'sxsw']",1
195,6538,"['google', 'launching', 'check', 'service', 'sxsw', 'providing', 'deals', 'fmsignal', 'sxswi']",1
196,5648,"['coyne', 'sxsw', 'keep', 'road', 'link']",1
197,3785,"['opens', 'tech', 'talk', 'apple', 'store', 'whore', 'pcs', 'right', 'crowd', 'dig', '-carrie', 'sxsw']",1
198,1004,"['game', 'play', 'swsx..', 'spot', 'non', 'apple', 'electronics', 'sxsw']",1
199,6030,"['hoot', 'new', 'blog', 'post', 'hootsuite', 'mobile', 'sxsw~updates', 'iphone', 'blackberry', 'android', 'link']",1
200,6427,"['100', 'line', 'apple', 'pop-', 'store', 'everyone', 'waiting', 'ipads', 'first', 'guy', 'arrived', ':30am', 'degrees', 'badges', 'everywhere', 'sxsw']",1
201,3418,"['evolved', 'novelty', 'game', 'essential', 'utility', 'link', 'via', 'sxsw']",1
202,3260,"['google', 'goggles', 'location', 'could', 'tell', 'example', 'history', 'building', 'looking', 'augmentedreality', 'sxsw']",2
203,1934,"['alive', 'loving', 'great', 'talks', 'jonathan', 'dahl', 'minimalistprogramming', 'google', 'marissa', 'mayer', 'marissagoogle', 'sxsw']",2
204,2030,"['great', 'recap', 'seemingly', 'great', 'sxsw', 'session', 'relive', 'wonder', 'google', 'bing', 'panel', 'link']",2
205,4016,"['facebook', 'killers', 'google', 'circles', 'announced', 'sxsw', 'interactive', 'festival', 'link', 'google', 'sxsw']",1
206,1977,"['ipad', 'sxsw', 'thanks', 'fxsw']",2
207,600,"['grab', 'latest', 'sxsw', 'link', 'saytextson']",1
208,5426,"['apple', 'heads', 'sxsw', 'sets', 'temporary', 'store', 'austin', 'link']",1
209,4337,"['good', 'purchased', 'ipad', 'sxsw', 'see', 'people', 'buying', 'white', 'one', 'nice', 'frame', 'presentations', 'reading']",1
210,5546,"['even', 'begins', 'apple', 'wins', 'sxsw', 'link']",2
211,8803,"['ogilvy', 'sxsw', 'podcast', 'channel', 'open', 'bizness', 'itunes', 'subscribe', 'daily', 'updates', 'link']",1
212,3257,"['getting', 'new', 'ipad', 'sxsw', 'flash', 'apple', 'store', 'link']",2
213,8921,"['anyone', 'sxsw', 'wan', 'na', 'bring', 'back', 'windows', 'foam', 'link', 'microsoft']",1
214,4976,"['ipad', 'come', 'sxsw', 'badge']",2
215,4236,"['valuable', 'apple', 'ipad', 'apps', 'top', 'critical', 'tasks', 'managed', 'uber', 'ipad', 'day', 'sxsw', 'link']",1
216,3301,"['haha', 'google', 'serving', 'pies', 'sxsw', 'booth']",1
217,7920,"['apple', 'sets', ',00-square-foot', 'temporary', 'store', 'sxsw', 'sell', 'new', 'ipads', 'test', 'potential', 'link', 'socialmedia', 'ipad']",1
218,7102,"['apple', 'opening', 'temporary', 'store', 'downtown', 'austin', 'sxsw', 'ipad', 'launch', 'link', 'source', 'statesman.com']",1
219,3187,"['line', 'ipad2', 'pop', 'apple', 'store', 'outlandish', 'entire', 'week', 'sxsw']",2
220,3401,"['aww', 'yeah', 'congrats', 'winning', 'last', 'ipad', 'case', 'boyfriend', 'smiling', 'sxsw', 'cbatsxsw']",2
221,128,"['stacks', 'ipad2', 'waiting', 'bought', 'sxsw', 'got', 'mine', 'hassle', 'apple', 'handled', 'perfectly', 'link']",2
222,1588,"['yay', 'flipboard', 'next', 'platform', 'iphone', 'ceo', 'says', 'sxsw']",2
223,7186,"['reason', 'apple', 'continued', 'survival', 'existence', 'god', ""''"", 'enchantment', 'sxsw', 'sxswi']",0
